,precision,recall,f1-score,support
Interictal,0.9992306846906254,0.9267149118336561,0.9616076150185088,9811.0
Preictal,0.6768539325842696,0.9953734302709848,0.8057784911717496,1513.0
accuracy,0.9358883786647828,0.9358883786647828,0.9358883786647828,0.9358883786647828
macro avg,0.8380423086374476,0.9610441710523204,0.8836930530951292,11324.0
weighted avg,0.9561579165930524,0.9358883786647828,0.9407872808273973,11324.0
