train_loss,val_loss,train_f1,val_f1,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_auc,val_auc
0.14718866878384274,0.09584172861078945,0.4076069475715664,0.5703215807826424,0.7211634904714143,0.8041155170891107,0.2845834269032113,0.40339819128528365,0.7179886685552408,0.9729015201586253,0.8153634469759434,0.958422789106709
0.08837245307796912,0.07750331990635986,0.5691245192506513,0.6383251441999572,0.8028235650347268,0.8504813212046277,0.4019040943870101,0.4715909090909091,0.9746458923512747,0.9874421678783873,0.9574963493211585,0.949866599562204
0.07555428259410973,0.07211958560778418,0.669769696969697,0.6890130353817505,0.871103877670748,0.8820100680031794,0.5091780316992259,0.531800215594682,0.978328611898017,0.9781890284203569,0.9684273688015732,0.9664001689738879
0.06954859504413974,0.06292244377474866,0.7192133603870766,0.7834997372569626,0.8978634015253307,0.9272277664929789,0.568374311323082,0.6502398604448321,0.9790368271954675,0.985459352280238,0.9744658350975419,0.9792704141409854
0.06610191250445364,0.060806477600140255,0.7475649787440134,0.8314606741573034,0.9112242387539978,0.9470105095822662,0.6027944111776448,0.723009281875916,0.9838526912181303,0.9781890284203569,0.9771916634391855,0.9822697680247235
0.06419019873966281,0.06016953775971262,0.7658802177858439,0.8032171581769437,0.9194375579568895,0.935176190055639,0.6260001798076059,0.6756878664862427,0.9862606232294617,0.9900859220092532,0.9786575148726605,0.9785812796066439
0.06270818425868124,0.06112233539354798,0.7783229259589652,0.8470790378006873,0.9247553982702825,0.9528393535282169,0.6417800662008091,0.7473471450227388,0.9886685552407932,0.9775280898876404,0.9786693073743805,0.9816454472384425
0.061411517230434885,0.05954480785878158,0.789926428975665,0.8085336213880637,0.9297515187070646,0.9373840854897112,0.6577756833176249,0.6835616438356165,0.9885269121813031,0.9894249834765367,0.9801159640864411,0.9772600425938166
0.06035641551689485,0.06273499779698653,0.8010095795330695,0.7506234413965087,0.934350220472739,0.9116841826371103,0.6730936084064398,0.6027232679215058,0.9889518413597733,0.9947124917382684,0.9812060318205412,0.9705998573019559
0.05915232647147403,0.05983724093203998,0.812071967498549,0.812177222071215,0.9387218258549233,0.9389737702022433,0.687905604719764,0.6897506925207756,0.9909348441926346,0.9874421678783873,0.9820660815721207,0.9724299361362247
0.05840739570403676,0.06048072780879165,0.8187346509180213,0.7876245411641322,0.9413334342650593,0.9284641879360593,0.6971718781119299,0.6527596697088223,0.991643059490085,0.992729676140119,0.9829418159852428,0.9718665887823706
0.05719330104070424,0.058768031915519325,0.8368175845179787,0.8273003592152528,0.9482977233587555,0.9448026141481939,0.7235075397645114,0.7108262108262108,0.9922096317280453,0.9894249834765367,0.9841760560639324,0.9753111160967841
0.05651029509047134,0.05694381746768709,0.840333113654065,0.8489657126664778,0.9495656781665752,0.9529276693455798,0.7281694528086388,0.7430555555555556,0.993342776203966,0.9900859220092532,0.9851639298512755,0.9805539891110209
